geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037125404,6037125404,2022,2696,10,0,10
1400000US06037125501,6037125501,2022,2945,5,0,5
1400000US06037125502,6037125502,2022,3817,10,0,10
1400000US06037125600,6037125600,2022,2983,0,0,0
1400000US06037127102,6037127102,2022,5166,62,62,0
1400000US06037127103,6037127103,2022,3103,5,0,5
1400000US06037127104,6037127104,2022,3955,0,0,0
1400000US06037127210,6037127210,2022,5680,7,0,7
1400000US06037127220,6037127220,2022,5326,11,0,11
1400000US06037127300,6037127300,2022,3732,9,0,9
1400000US06037127400,6037127400,2022,6291,156,0,156
1400000US06037127520,6037127520,2022,4881,15,0,15
1400000US06037127603,6037127603,2022,2757,6,0,6
1400000US06037127604,6037127604,2022,3288,21,0,21
1400000US06037127605,6037127605,2022,3827,12,0,12
1400000US06037127606,6037127606,2022,3179,54,0,54
1400000US06037127711,6037127711,2022,3107,12,0,12
1400000US06037127712,6037127712,2022,3752,53,47,6
1400000US06037127803,6037127803,2022,4914,12,0,12
1400000US06037127804,6037127804,2022,4823,4,0,4
1400000US06037127805,6037127805,2022,3545,13,0,13
1400000US06037127806,6037127806,2022,3083,1,0,1
1400000US06037127910,6037127910,2022,4859,45,40,5
1400000US06037127920,6037127920,2022,4713,2,0,2
1400000US06037128101,6037128101,2022,2995,2,0,2
1400000US06037128102,6037128102,2022,4888,10,0,10
1400000US06037128210,6037128210,2022,5358,98,84,14
1400000US06037128220,6037128220,2022,2779,2,0,2
1400000US06037128302,6037128302,2022,4826,15,0,15
1400000US06037128303,6037128303,2022,3780,0,0,0
1400000US06037128400,6037128400,2022,4643,33,0,33
1400000US06037128500,6037128500,2022,4145,5,0,5
1400000US06037128601,6037128601,2022,4834,49,0,49
1400000US06037128602,6037128602,2022,2892,1,0,1
1400000US06037128703,6037128703,2022,3070,31,0,31
1400000US06037128704,6037128704,2022,2239,31,0,31
1400000US06037128801,6037128801,2022,3807,2,0,2
1400000US06037128802,6037128802,2022,4309,1,0,1
1400000US06037128910,6037128910,2022,4614,18,0,18
1400000US06037131021,6037131021,2022,3465,4,0,4
1400000US06037131022,6037131022,2022,2822,3,0,3
1400000US06037131023,6037131023,2022,2946,6,0,6
1400000US06037131024,6037131024,2022,3905,9,0,9
1400000US06037131100,6037131100,2022,3289,23,0,23
1400000US06037131200,6037131200,2022,3485,0,0,0
1400000US06037131300,6037131300,2022,4560,10,0,10
1400000US06037131400,6037131400,2022,6364,10,7,3
1400000US06037131600,6037131600,2022,4997,15,0,15
1400000US06037131701,6037131701,2022,5602,4,0,4
1400000US06037131702,6037131702,2022,4135,2,0,2
1400000US06037131801,6037131801,2022,3085,46,25,21
1400000US06037131802,6037131802,2022,2564,46,25,21
1400000US06037131900,6037131900,2022,4468,0,0,0
1400000US06037132001,6037132001,2022,3213,12,0,12
1400000US06037132002,6037132002,2022,3596,12,0,12
1400000US06037132101,6037132101,2022,4592,1,0,1
1400000US06037132102,6037132102,2022,5347,11,7,4
1400000US06037132301,6037132301,2022,4074,17,0,17
1400000US06037132302,6037132302,2022,3359,17,0,17
1400000US06037132501,6037132501,2022,4785,2,0,2
1400000US06037132502,6037132502,2022,3207,93,48,45
1400000US06037132700,6037132700,2022,4735,60,8,52
1400000US06037132900,6037132900,2022,3763,10,0,10
1400000US06037133000,6037133000,2022,4449,22,6,16
1400000US06037133101,6037133101,2022,1683,26,18,8
1400000US06037133102,6037133102,2022,3663,34,24,10
1400000US06037134001,6037134001,2022,3757,27,0,27
1400000US06037134002,6037134002,2022,3760,2,0,2
1400000US06037134101,6037134101,2022,5262,1,0,1
1400000US06037134103,6037134103,2022,4495,0,0,0
1400000US06037134104,6037134104,2022,4308,1,0,1
1400000US06037134201,6037134201,2022,4587,74,0,74
1400000US06037134302,6037134302,2022,4082,0,0,0
1400000US06037134303,6037134303,2022,5556,4,0,4
1400000US06037134304,6037134304,2022,2885,0,0,0
1400000US06037134305,6037134305,2022,3726,0,0,0
1400000US06037134306,6037134306,2022,4387,53,40,13
1400000US06037134421,6037134421,2022,4421,6,0,6
1400000US06037134422,6037134422,2022,4809,2,0,2
1400000US06037134423,6037134423,2022,3385,0,0,0
1400000US06037134424,6037134424,2022,2857,0,0,0
1400000US06037134520,6037134520,2022,5439,82,0,82
1400000US06037134521,6037134521,2022,3087,39,0,39
1400000US06037134522,6037134522,2022,4490,0,0,0
1400000US06037134710,6037134710,2022,5441,4,0,4
1400000US06037134720,6037134720,2022,5417,2,0,2
1400000US06037134801,6037134801,2022,3001,14,0,14
1400000US06037134802,6037134802,2022,2825,14,0,14
1400000US06037134901,6037134901,2022,2610,16,4,12
1400000US06037134904,6037134904,2022,4701,15,0,15
1400000US06037134905,6037134905,2022,5028,5,0,5
1400000US06037134906,6037134906,2022,3269,27,0,27
1400000US06037134907,6037134907,2022,3354,60,0,60
1400000US06037135102,6037135102,2022,3672,7,0,7
1400000US06037135111,6037135111,2022,3785,13,0,13
1400000US06037135113,6037135113,2022,3225,1,0,1
1400000US06037135115,6037135115,2022,3118,4,0,4
1400000US06037135116,6037135116,2022,1586,12,0,12
1400000US06037135201,6037135201,2022,2925,1,0,1
1400000US06037135202,6037135202,2022,4531,11,0,11
1400000US06037135204,6037135204,2022,4928,2,0,2
1400000US06037135205,6037135205,2022,2067,2,0,2
1400000US06037137000,6037137000,2022,5098,0,0,0
1400000US06037137103,6037137103,2022,5389,10,0,10
1400000US06037137104,6037137104,2022,2511,3,0,3
1400000US06037137202,6037137202,2022,3416,23,0,23
1400000US06037137203,6037137203,2022,2548,29,0,29
1400000US06037137301,6037137301,2022,2097,1,0,1
1400000US06037137302,6037137302,2022,4361,8,0,8
1400000US06037137401,6037137401,2022,4536,0,0,0
1400000US06037137402,6037137402,2022,5598,4,0,4
1400000US06037137501,6037137501,2022,5080,3,0,3
1400000US06037137502,6037137502,2022,4298,6,0,6
1400000US06037137504,6037137504,2022,2021,0,0,0
1400000US06037138000,6037138000,2022,4839,0,0,0
1400000US06037139001,6037139001,2022,5439,3,0,3
1400000US06037139200,6037139200,2022,5712,2,0,2
1400000US06037139301,6037139301,2022,4373,16,0,16
1400000US06037139302,6037139302,2022,4806,9,4,5
1400000US06037139303,6037139303,2022,4477,27,0,27
1400000US06037139401,6037139401,2022,2468,18,0,18
1400000US06037139402,6037139402,2022,2877,2,0,2
1400000US06037139502,6037139502,2022,2874,4,0,4
1400000US06037139504,6037139504,2022,3725,13,0,13
1400000US06037139505,6037139505,2022,2609,0,0,0
1400000US06037139506,6037139506,2022,2972,0,0,0
1400000US06037139600,6037139600,2022,5075,4,0,4
1400000US06037139701,6037139701,2022,5729,3,0,3
1400000US06037139703,6037139703,2022,2425,0,0,0
1400000US06037139704,6037139704,2022,2765,0,0,0
1400000US06037139705,6037139705,2022,3995,0,0,0
1400000US06037139801,6037139801,2022,3518,1,0,1
1400000US06037139802,6037139802,2022,3878,0,0,0
1400000US06037141101,6037141101,2022,4458,1,0,1
1400000US06037141102,6037141102,2022,3049,1,0,1
1400000US06037141201,6037141201,2022,4015,54,0,54
1400000US06037141202,6037141202,2022,2924,2,0,2
1400000US06037141303,6037141303,2022,3330,2,0,2
1400000US06037141304,6037141304,2022,3116,19,0,19
1400000US06037141305,6037141305,2022,2625,1,0,1
1400000US06037141306,6037141306,2022,3145,1,0,1
1400000US06037141400,6037141400,2022,5233,21,17,4
1400000US06037141500,6037141500,2022,3006,0,0,0
1400000US06037141600,6037141600,2022,4183,0,0,0
1400000US06037141700,6037141700,2022,3150,0,0,0
1400000US06037143101,6037143101,2022,2157,13,0,13
1400000US06037143102,6037143102,2022,2119,4,0,4
1400000US06037143200,6037143200,2022,4158,34,0,34
1400000US06037143301,6037143301,2022,3474,6,0,6
1400000US06037143302,6037143302,2022,3267,10,0,10
1400000US06037143401,6037143401,2022,5535,12,0,12
1400000US06037143402,6037143402,2022,1859,7,0,7
1400000US06037143500,6037143500,2022,5635,1,0,1
1400000US06037143602,6037143602,2022,4936,15,0,15
1400000US06037143603,6037143603,2022,2443,18,0,18
1400000US06037143605,6037143605,2022,1724,3,0,3
1400000US06037143606,6037143606,2022,1747,2,0,2
1400000US06037143700,6037143700,2022,3485,1,0,1
1400000US06037143801,6037143801,2022,3270,8,0,8
1400000US06037143802,6037143802,2022,2247,7,0,7
1400000US06037143901,6037143901,2022,4292,5,0,5
1400000US06037143902,6037143902,2022,2892,1,0,1
1400000US06037181000,6037181000,2022,0,33,0,33
1400000US06037181300,6037181300,2022,0,28,0,28
1400000US06037181400,6037181400,2022,4718,16,0,16
1400000US06037181500,6037181500,2022,0,13,0,13
1400000US06037181600,6037181600,2022,4655,12,0,12
1400000US06037183101,6037183101,2022,0,16,0,16
1400000US06037183103,6037183103,2022,4797,38,0,38
1400000US06037183104,6037183104,2022,0,2,0,2
1400000US06037183220,6037183220,2022,3370,35,0,35
1400000US06037183221,6037183221,2022,3530,5,0,5
1400000US06037183222,6037183222,2022,3599,2,0,2
1400000US06037183300,6037183300,2022,3517,12,0,12
1400000US06037183401,6037183401,2022,2436,0,0,0
1400000US06037183402,6037183402,2022,2867,7,0,7
1400000US06037183510,6037183510,2022,2535,2,0,2
1400000US06037183520,6037183520,2022,3944,0,0,0
1400000US06037183610,6037183610,2022,2909,11,0,11
1400000US06037183620,6037183620,2022,2994,23,0,23
1400000US06037183701,6037183701,2022,3329,3,0,3
1400000US06037183702,6037183702,2022,2925,77,69,8
1400000US06037183810,6037183810,2022,4369,0,0,0
1400000US06037183820,6037183820,2022,3331,17,0,17
1400000US06037185101,6037185101,2022,2924,4,0,4
1400000US06037185102,6037185102,2022,3352,6,0,6
1400000US06037185202,6037185202,2022,4084,4,0,4
1400000US06037185203,6037185203,2022,2728,7,0,7
1400000US06037185204,6037185204,2022,1884,0,0,0
1400000US06037185310,6037185310,2022,3053,61,0,61
1400000US06037185320,6037185320,2022,2831,58,0,58
1400000US06037186100,6037186100,2022,0,16,0,16
1400000US06037186201,6037186201,2022,3503,5,0,5
1400000US06037186202,6037186202,2022,1739,0,0,0
1400000US06037186203,6037186203,2022,3104,4,0,4
1400000US06037186301,6037186301,2022,0,13,0,13
1400000US06037186302,6037186302,2022,5082,26,0,26
1400000US06037186401,6037186401,2022,0,80,0,80
1400000US06037186403,6037186403,2022,2692,11,0,11
1400000US06037186404,6037186404,2022,2795,16,0,16
1400000US06037187101,6037187101,2022,0,9,0,9
1400000US06037187102,6037187102,2022,4588,56,0,56
1400000US06037187200,6037187200,2022,2809,12,0,12
1400000US06037187300,6037187300,2022,3688,12,0,12
1400000US06037188100,6037188100,2022,0,28,0,28
1400000US06037188201,6037188201,2022,3077,55,23,32
1400000US06037188202,6037188202,2022,2832,0,0,0
1400000US06037188300,6037188300,2022,3738,6,0,6
1400000US06037189101,6037189101,2022,2366,15,0,15
1400000US06037189102,6037189102,2022,3910,0,0,0
1400000US06037189201,6037189201,2022,3020,5,0,5
1400000US06037189202,6037189202,2022,2829,9,0,9
1400000US06037189300,6037189300,2022,2805,12,0,12
1400000US06037189400,6037189400,2022,3135,2,0,2
1400000US06037189501,6037189501,2022,2293,7,0,7
1400000US06037189502,6037189502,2022,1948,5,0,5
1400000US06037189600,6037189600,2022,3752,77,0,77
1400000US06037189702,6037189702,2022,2121,28,0,28
1400000US06037189703,6037189703,2022,1824,22,0,22
1400000US06037189704,6037189704,2022,1257,6,0,6
1400000US06037189801,6037189801,2022,1766,6,0,6
1400000US06037189802,6037189802,2022,1917,4,0,4
1400000US06037189903,6037189903,2022,2209,2,0,2
1400000US06037189904,6037189904,2022,2270,5,0,5
1400000US06037189905,6037189905,2022,2508,83,67,16
1400000US06037189906,6037189906,2022,2467,21,9,12
1400000US06037189907,6037189907,2022,2416,17,7,10
1400000US06037190101,6037190101,2022,1659,15,0,15
1400000US06037190102,6037190102,2022,2473,26,0,26
1400000US06037190201,6037190201,2022,2928,52,0,52
1400000US06037190202,6037190202,2022,2988,36,0,36
1400000US06037190302,6037190302,2022,2811,85,7,78
1400000US06037190303,6037190303,2022,2608,58,5,53
1400000US06037190401,6037190401,2022,2905,4,0,4
1400000US06037190402,6037190402,2022,2169,3,0,3
1400000US06037190510,6037190510,2022,3710,45,0,45
1400000US06037190520,6037190520,2022,3864,9,0,9
1400000US06037190701,6037190701,2022,1551,96,19,77
1400000US06037190702,6037190702,2022,1161,44,9,35
1400000US06037190801,6037190801,2022,3001,57,12,45
1400000US06037190802,6037190802,2022,2944,43,0,43
1400000US06037190901,6037190901,2022,3613,94,73,21
1400000US06037190902,6037190902,2022,3711,12,0,12
1400000US06037191000,6037191000,2022,4894,313,58,255
1400000US06037191110,6037191110,2022,3104,11,0,11
1400000US06037191120,6037191120,2022,3775,12,0,12
1400000US06037191201,6037191201,2022,5007,50,0,50
1400000US06037191203,6037191203,2022,2345,7,0,7
1400000US06037191204,6037191204,2022,1513,4,0,4
1400000US06037191301,6037191301,2022,2242,25,0,25
1400000US06037191302,6037191302,2022,1807,25,0,25
1400000US06037191410,6037191410,2022,3372,59,0,59
1400000US06037191420,6037191420,2022,3515,52,0,52
1400000US06037191500,6037191500,2022,5503,29,0,29
1400000US06037191610,6037191610,2022,3938,26,0,26
1400000US06037191620,6037191620,2022,2857,7,0,7
1400000US06037191710,6037191710,2022,2633,11,0,11
1400000US06037191720,6037191720,2022,3447,28,0,28
1400000US06037191810,6037191810,2022,2981,94,0,94
1400000US06037191820,6037191820,2022,3518,6,0,6
1400000US06037191901,6037191901,2022,3609,114,65,49
1400000US06037191902,6037191902,2022,2778,13,0,13
1400000US06037192001,6037192001,2022,2118,20,0,20
1400000US06037192002,6037192002,2022,2639,9,0,9
1400000US06037192300,6037192300,2022,2503,14,0,14
1400000US06037192410,6037192410,2022,3815,1,0,1
1400000US06037192420,6037192420,2022,3657,12,0,12
1400000US06037192510,6037192510,2022,3769,16,0,16
1400000US06037192520,6037192520,2022,5333,1,0,1
1400000US06037192610,6037192610,2022,3892,27,0,27
1400000US06037192620,6037192620,2022,3415,12,0,12
1400000US06037192700,6037192700,2022,3934,161,93,68
1400000US06037194101,6037194101,2022,3258,0,0,0
1400000US06037194102,6037194102,2022,2791,0,0,0
1400000US06037194200,6037194200,2022,3542,0,0,0
1400000US06037194300,6037194300,2022,2806,0,0,0
1400000US06037194401,6037194401,2022,2444,21,0,21
1400000US06037194402,6037194402,2022,3314,6,0,6
1400000US06037194500,6037194500,2022,1977,26,0,26
1400000US06037195100,6037195100,2022,5106,1,0,1
1400000US06037195201,6037195201,2022,2816,0,0,0
1400000US06037195202,6037195202,2022,3231,15,0,15
